"month_and_year","coin_name","avg_close","max_high","min_low","total_volume"
"2016-12",Dogecoin,0.00,0.00025195,0.00020793,4783785.5
"2016-12",Ethereum,7.84,8.86133,5.97887,388060736
"2017-01",Bitcoin,914.92,1191.1,755.756,5143971840
"2017-01",Dogecoin,0.00,0.0002571,0.00019498,5426329.5
"2017-01",Ethereum,10.20,11.8909,7.98231,521748480
"2017-02",Bitcoin,1062.53,1200.39,946.691,4282761216
"2017-02",Dogecoin,0.00,0.00021693,0.00019602,3125119.8
"2017-02",Ethereum,12.37,16.0594,10.5519,467166752
"2017-03",Bitcoin,1129.37,1280.31,903.713,10872457216
"2017-03",Dogecoin,0.00,0.00035956,0.00019461,17239304
"2017-03",Ethereum,34.79,55.1147,15.5589,4324809728
"2017-04",Bitcoin,1206.64,1347.91,1061.09,9757448192
"2017-04",Dogecoin,0.00,0.00077096,0.00031669,69685520
"2017-04",Ethereum,50.34,79.0212,40.9011,3154319360
"2017-05",Bitcoin,1895.38,2763.71,1348.3,34261860352
"2017-05",Dogecoin,0.00,0.00404414,0.0005728,838356544
"2017-05",Ethereum,125.75,236.965,73.0866,14679954432
"2017-06",Bitcoin,2636.20,2999.91,2212.96,44478140416
"2017-06",Dogecoin,0.00,0.00403649,0.00224516,653790464
"2017-06",Ethereum,313.73,414.756,214.48,34410803200
"2017-07",Binance Coin,0.11,0.111264,0.0992655,1692250.0
"2017-07",Bitcoin,2519.42,2916.14,1843.03,32619960320
"2017-07",Dogecoin,0.00,0.00289282,0.00128023,201261920
"2017-07",Ethereum,224.12,295.509,133.723,31034423296
"2017-08",Binance Coin,1.35,2.95545,0.0961094,786763200
"2017-08",Bitcoin,3880.99,4736.05,2668.59,63548018688
"2017-08",Dogecoin,0.00,0.0021514,0.00157468,159067808
"2017-08",Ethereum,301.61,388.748,204.688,33197516800
"2017-09",Binance Coin,1.06,2.84927,0.526755,221387184
"2017-09",Bitcoin,4064.84,4975.04,2946.62,55700955136
"2017-09",Dogecoin,0.00,0.00270123,0.00062556,267624096
"2017-09",Ethereum,293.05,390.044,195.035,24310298624
"2017-10",Binance Coin,1.40,2.03295,1.09605,153469472
"2017-10",Bitcoin,5360.07,6470.43,4164.05,58009362432
"2017-10",Dogecoin,0.00,0.00125378,0.00093806,109439840
"2017-10",Ethereum,306.25,349.345,277.575,13427328000
"2017-11",Binance Coin,1.67,2.17423,1.19562,421326240
"2017-11",Bitcoin,7813.13,11517.4,5519.01,140735004672
"2017-11",Dogecoin,0.00,0.00258089,0.00100158,159037040
"2017-11",Ethereum,357.94,522.307,281.172,31904817152
"2017-12",Binance Coin,4.74,11.3022,1.92297,1722931456
"2017-12",Bitcoin,15294.27,20089.0,9694.65,410336493568
"2017-12",Dogecoin,0.01,0.0107288,0.0019707,1600280704
"2017-12",Ethereum,640.21,881.944,414.411,79862284288
"2018-01",Binance Coin,15.06,24.9121,7.95922,5901239296
"2018-01",Bitcoin,13085.56,17712.4,9402.29,416247873536
"2018-01",Dogecoin,0.01,0.0187733,0.00549934,2279939072
"2018-01",Ethereum,1103.65,1432.88,742.004,163610198016
"2018-02",Binance Coin,9.59,11.8707,5.59007,1811644928
"2018-02",Bitcoin,9472.00,11958.5,6048.26,229717786624
"2018-02",Dogecoin,0.01,0.0082881,0.0030359,604638976
"2018-02",Ethereum,873.12,1161.35,574.419,83393429504
"2018-03",Binance Coin,9.94,14.8387,7.17423,2934023680
"2018-03",Bitcoin,9040.56,11704.1,6683.93,193751728128
"2018-03",Dogecoin,0.00,0.00631958,0.00264751,289734048
"2018-03",Ethereum,625.76,880.302,368.633,53716172800
"2018-04",Binance Coin,13.02,15.9259,10.3783,3189054720
"2018-04",Bitcoin,8033.60,9745.32,6526.87,196550017024
"2018-04",Dogecoin,0.00,0.00595806,0.00259521,586307712
"2018-04",Ethereum,521.10,708.875,363.805,60669919232
"2018-05",Binance Coin,13.49,16.2205,11.7031,2260288768
"2018-05",Bitcoin,8451.00,9964.5,7090.68,197611700224
"2018-05",Dogecoin,0.00,0.00564918,0.00316773,612771264
"2018-05",Ethereum,678.80,835.057,512.552,81752719360
"2018-06",Binance Coin,15.32,17.4381,13.5444,2580553984
"2018-06",Bitcoin,6793.51,7754.89,5826.41,130214174720
"2018-06",Dogecoin,0.00,0.00383575,0.00229303,252172928
"2018-06",Ethereum,520.53,624.513,407.947,55077543936
"2018-07",Binance Coin,13.22,14.8694,11.6484,1467977984
"2018-07",Bitcoin,7146.35,8424.27,6136.42,141441925120
"2018-07",Dogecoin,0.00,0.00431392,0.00218731,301184320
"2018-07",Ethereum,463.33,513.433,422.81,52395327488
"2018-08",Binance Coin,11.34,14.4551,8.66266,1080238720
"2018-08",Bitcoin,6700.13,7769.04,5971.05,132292771840
"2018-08",Dogecoin,0.00,0.00484871,0.00214332,273763072
"2018-08",Ethereum,322.05,435.457,254.65,49073238016
"2018-09",Binance Coin,10.05,11.5423,9.03731,676271232
"2018-09",Bitcoin,6610.68,7388.43,6197.52,129745379328
"2018-09",Dogecoin,0.01,0.00693312,0.00433683,1262094720
"2018-09",Ethereum,227.46,301.144,170.257,55203909632
"2018-10",Binance Coin,9.90,10.7457,9.23651,902085248
"2018-10",Bitcoin,6485.12,6965.06,6236.47,118436872192
"2018-10",Dogecoin,0.00,0.00602391,0.00367618,429941088
"2018-10",Ethereum,209.96,234.145,188.707,44459814912
"2018-11",Binance Coin,7.68,9.88388,4.44223,521131904
"2018-11",Bitcoin,5404.25,6552.16,3585.06,158359519232
"2018-11",Dogecoin,0.00,0.00395134,0.0020057,418716544
"2018-11",Ethereum,169.05,221.652,101.77,59375108096
"2018-12",Binance Coin,5.35,6.585201,4.1899705,710189504
"2018-12",Bitcoin,3717.49,4309.3774,3191.3035,168826847232
"2018-12",Dogecoin,0.00,0.0027785345,0.0020305861,617721600
"2018-12",Ethereum,109.00,157.6687,82.82989,72329895936
"2019-01",Binance Coin,6.32,7.24677,5.493421,1319676416
"2019-01",Bitcoin,3701.55,4109.021,3400.8198,167335706624
"2019-01",Dogecoin,0.00,0.0024580758,0.0019124819,511305760
"2019-01",Ethereum,128.17,160.82489,103.336464,85054971904
"2019-02",Binance Coin,9.10,11.323773,6.1722956,2642216704
"2019-02",Bitcoin,3711.91,4210.6416,3391.0237,199100661760
"2019-02",Dogecoin,0.00,0.0021385644,0.0018346912,499741536
