"date","coin_name","symbol","open_price","close_price","high_price","low_price","volume","market_cap"
2017-11-11,Binance Coin,BNB,1.78628,1.67047,1.91775,1.61429,8178150.0,165399920
2017-11-12,Binance Coin,BNB,1.66889,1.51969,1.6728,1.46256,15298700,150470592
2017-11-13,Binance Coin,BNB,1.52601,1.68662,1.73502,1.5176,12238800,166998992
2017-11-14,Binance Coin,BNB,1.68928,1.59258,1.73537,1.56827,7829600.0,157687712
2017-11-15,Binance Coin,BNB,1.58777,1.53045,1.62498,1.4955,7615500.0,151535984
2017-11-16,Binance Coin,BNB,1.55619,1.57792,1.68222,1.53689,8928640.0,156236176
2017-11-17,Binance Coin,BNB,1.58005,1.51036,1.58266,1.4953,8508840.0,149546784
2017-11-18,Binance Coin,BNB,1.51136,1.67433,1.67678,1.49823,32167300,165782112
2017-11-19,Binance Coin,BNB,1.67336,1.61377,1.70123,1.5678,38081700,159785824
2017-11-20,Binance Coin,BNB,1.62559,1.62445,1.66065,1.55561,12994500,160843296
2017-11-21,Binance Coin,BNB,1.65817,1.57406,1.65967,1.54984,5440790.0,155853984
2017-11-22,Binance Coin,BNB,1.59049,1.61175,1.62137,1.55823,7177000.0,159585808
2017-11-23,Binance Coin,BNB,1.6106,1.5487,1.61668,1.53759,8392640.0,153342976
2017-11-24,Binance Coin,BNB,1.56953,1.71771,1.82018,1.55558,12155400,170077344
2017-11-25,Binance Coin,BNB,1.71697,1.87387,1.95764,1.69397,12839900,185539360
2017-11-26,Binance Coin,BNB,1.89474,1.85313,1.93531,1.82674,9056850.0,183485808
2017-11-27,Binance Coin,BNB,1.87083,1.94298,1.94727,1.78963,22826600,192382224
2017-11-28,Binance Coin,BNB,1.95885,1.91711,1.95885,1.86804,36377700,189820736
2017-11-29,Binance Coin,BNB,1.92434,1.75153,2.05159,1.68317,43765500,173425984
2017-11-30,Binance Coin,BNB,1.76144,1.99697,2.05291,1.76144,31559500,197727984
2017-12-01,Binance Coin,BNB,1.99695,2.07023,2.13701,1.92297,28867200,204981760
2017-12-02,Binance Coin,BNB,2.07706,2.08416,2.11566,1.99689,24332700,206361024
2017-12-03,Binance Coin,BNB,2.08541,2.22725,2.38115,2.05419,35163500,220528928
2017-12-04,Binance Coin,BNB,2.25809,2.49168,2.57703,2.25809,41226200,246711200
2017-12-05,Binance Coin,BNB,2.50181,2.5953,2.73179,2.50181,49190000,256971040
2017-12-06,Binance Coin,BNB,2.58043,2.58769,2.77881,2.34588,41731500,256217536
2017-12-07,Binance Coin,BNB,2.5494,2.77995,2.91443,2.48943,28297900,275253984
2017-12-08,Binance Coin,BNB,2.7661,2.83067,2.86899,2.25957,38648500,280275968
2017-12-09,Binance Coin,BNB,2.82602,2.61043,2.86734,2.33035,27217000,258469120
2017-12-10,Binance Coin,BNB,2.66134,2.48337,2.69544,2.2117,19258500,245888400
2017-12-11,Binance Coin,BNB,2.51302,2.70665,2.82448,2.50335,19427000,267996240
2017-12-12,Binance Coin,BNB,2.72645,2.68475,2.7783,2.61343,24523200,265827840
2017-12-13,Binance Coin,BNB,2.68708,2.7781,2.87505,2.57144,28429500,275070784
2017-12-14,Binance Coin,BNB,2.77344,3.15874,3.15874,2.77266,40335300,312759488
2017-12-15,Binance Coin,BNB,3.1567,3.99615,4.41125,3.14282,52745900,395674784
2017-12-16,Binance Coin,BNB,4.16847,4.66465,4.72541,3.9184,54002400,461865664
2017-12-17,Binance Coin,BNB,4.66934,5.75672,6.75043,4.66934,98159600,569995904
2017-12-18,Binance Coin,BNB,5.7924,5.61585,6.22132,5.28097,66623700,556047744
2017-12-19,Binance Coin,BNB,5.647,5.79233,6.54532,5.57976,66695200,573521792
2017-12-20,Binance Coin,BNB,5.78863,5.17621,5.78863,4.93317,47866900,512517248
2017-12-21,Binance Coin,BNB,5.18491,5.18001,5.69816,4.81415,46905500,512893504
2017-12-22,Binance Coin,BNB,5.20546,4.33615,5.21274,3.51331,36672600,429339552
2017-12-23,Binance Coin,BNB,4.39496,4.83926,5.13451,4.30761,32930300,479154496
2017-12-24,Binance Coin,BNB,4.74184,5.28568,5.28568,4.19865,43676900,523356320
2017-12-25,Binance Coin,BNB,5.30858,6.56001,6.95522,5.25054,66374400,649532800
2017-12-26,Binance Coin,BNB,6.55928,9.02942,10.6221,6.49638,167812992,894038976
2017-12-27,Binance Coin,BNB,9.25426,10.107,11.3022,8.48659,167808000,1000734528
2017-12-28,Binance Coin,BNB,10.1263,9.32141,10.1964,8.14928,109298000,922950080
2017-12-29,Binance Coin,BNB,9.31862,8.8076,9.53485,8.53682,70849400,872075712
2017-12-30,Binance Coin,BNB,8.71377,7.84101,8.7611,7.18794,72933904,776369792
2017-12-31,Binance Coin,BNB,7.76331,8.63558,8.83912,7.70899,74927904,855043328
2018-01-01,Binance Coin,BNB,8.62953,8.41461,8.70057,7.95922,66422800,833164224
2018-01-02,Binance Coin,BNB,8.4577,8.83777,9.12259,8.21718,104789000,875062976
2018-01-03,Binance Coin,BNB,8.77014,9.53588,9.58078,8.52918,108852000,944185600
2018-01-04,Binance Coin,BNB,9.44584,9.21399,9.53849,8.85413,158819008,912313984
2018-01-05,Binance Coin,BNB,9.14568,14.9172,16.7177,9.09468,341504992,1477011584
2018-01-06,Binance Coin,BNB,14.8689,22.7598,23.5082,14.8212,637020992,2253538816
2018-01-07,Binance Coin,BNB,22.7691,18.6568,22.7691,18.2425,258050000,1847284352
2018-01-08,Binance Coin,BNB,18.6465,18.2609,19.2167,15.3471,296617984,1808084736
2018-01-09,Binance Coin,BNB,18.174,17.4118,20.3203,16.8014,194750000,1724011904
2018-01-10,Binance Coin,BNB,17.7079,17.3908,17.7079,15.1708,146582000,1721932672
