"date","coin_name","daily_return"
2020-12-24,Dogecoin,21.3077
2021-01-01,Dogecoin,21.4151
2021-01-02,Dogecoin,86.7121
2021-01-11,Dogecoin,-10.3966
2021-01-28,Dogecoin,355.5710
2021-01-29,Dogecoin,38.3704
2021-01-30,Dogecoin,-40.2566
2021-01-31,Dogecoin,32.0142
2021-02-03,Dogecoin,17.7657
2021-02-04,Dogecoin,43.5595
2021-02-05,Dogecoin,-11.9247
2021-02-06,Dogecoin,22.7124
2021-02-07,Dogecoin,36.7865
2021-02-09,Dogecoin,-11.1076
2021-02-18,Dogecoin,20.5884
2021-02-23,Dogecoin,-11.7880
2021-02-24,Dogecoin,19.3352
2021-02-25,Dogecoin,-11.2952
2021-03-08,Dogecoin,18.8550
2021-03-13,Dogecoin,12.7971
2021-04-01,Dogecoin,15.5222
2021-04-11,Dogecoin,16.9223
2021-04-13,Dogecoin,32.0458
2021-04-14,Dogecoin,30.0420
2021-04-15,Dogecoin,49.9435
2021-04-16,Dogecoin,100.7990
2021-04-17,Dogecoin,-22.3294
2021-04-18,Dogecoin,12.7746
2021-04-19,Dogecoin,27.0980
2021-04-20,Dogecoin,-21.5601
2021-04-22,Dogecoin,-14.9735
2021-04-28,Dogecoin,18.9183
2021-04-30,Dogecoin,10.6143
2021-05-01,Dogecoin,16.4196
2021-05-03,Dogecoin,17.4608
2021-05-04,Dogecoin,22.5552
2021-05-05,Dogecoin,21.4837
2021-05-06,Dogecoin,-11.6827
2021-05-07,Dogecoin,17.9016
2021-05-09,Dogecoin,-10.4281
2021-05-10,Dogecoin,-21.0688
2021-05-11,Dogecoin,10.0602
2021-05-12,Dogecoin,-22.1826
2021-05-13,Dogecoin,27.2456
2021-05-14,Dogecoin,14.1179
2021-05-19,Dogecoin,-30.0330
2021-05-20,Dogecoin,20.1338
2021-05-21,Dogecoin,-10.1980
2021-05-23,Dogecoin,-10.0185
2021-05-24,Dogecoin,18.8566
2021-06-01,Dogecoin,13.5864
2021-06-02,Dogecoin,14.4016
2021-06-07,Dogecoin,-10.9619
2021-06-21,Dogecoin,-36.3863
2021-06-23,Dogecoin,21.5373
2021-06-24,Dogecoin,13.1836
2015-08-11,Ethereum,50.7323
2015-08-12,Ethereum,14.0075
2015-08-13,Ethereum,50.1240
2015-08-17,Ethereum,-23.1426
2015-08-19,Ethereum,15.8052
2015-08-20,Ethereum,16.3688
2015-08-30,Ethereum,11.5615
2015-09-11,Ethereum,-15.6799
2015-09-28,Ethereum,-19.1378
2015-09-29,Ethereum,13.4263
2015-09-30,Ethereum,11.7218
2015-10-14,Ethereum,-13.9367
2015-10-20,Ethereum,-11.0805
2015-10-22,Ethereum,26.9093
2015-10-26,Ethereum,18.7128
2015-10-27,Ethereum,18.9144
2015-10-28,Ethereum,15.2752
2015-10-29,Ethereum,20.3675
2015-10-30,Ethereum,-13.7106
2015-10-31,Ethereum,-11.9661
2015-11-01,Ethereum,15.1690
2015-11-04,Ethereum,-11.2803
2015-11-08,Ethereum,10.7219
2015-11-11,Ethereum,-15.2533
2015-11-12,Ethereum,13.1192
2015-12-11,Ethereum,10.6338
2016-01-20,Ethereum,11.6984
2016-01-23,Ethereum,31.4001
2016-01-25,Ethereum,16.7229
2016-02-02,Ethereum,10.3066
2016-02-07,Ethereum,16.9614
2016-02-09,Ethereum,27.1983
2016-02-11,Ethereum,35.5444
2016-02-16,Ethereum,-18.4001
2016-02-17,Ethereum,-12.9319
2016-02-18,Ethereum,17.0841
2016-02-22,Ethereum,20.6910
2016-02-24,Ethereum,11.6405
2016-03-01,Ethereum,20.7780
2016-03-02,Ethereum,10.6053
2016-03-04,Ethereum,11.9629
2016-03-07,Ethereum,-16.0791
2016-03-09,Ethereum,20.8261
2016-03-12,Ethereum,22.1108
2016-03-14,Ethereum,-13.9717
2016-03-17,Ethereum,-11.4960
2016-03-21,Ethereum,14.9644
2016-03-23,Ethereum,10.1279
2016-03-28,Ethereum,11.9625
2016-04-12,Ethereum,-13.8999
2016-04-30,Ethereum,18.1928
2016-05-02,Ethereum,14.8839
2016-05-16,Ethereum,12.1352
2016-05-18,Ethereum,11.1470
2016-05-31,Ethereum,10.6245
2016-06-12,Ethereum,10.9368
2016-06-13,Ethereum,11.8079
2016-06-16,Ethereum,12.1732
2016-06-17,Ethereum,-25.3140
2016-06-18,Ethereum,-26.3130
2016-06-21,Ethereum,12.3924
2016-06-28,Ethereum,-12.3042
2016-07-08,Ethereum,12.7129
2016-07-22,Ethereum,15.8979
2016-07-24,Ethereum,-10.8408
2016-07-26,Ethereum,-13.3462
2016-08-02,Ethereum,-19.6893
2016-08-03,Ethereum,17.1455
2016-12-06,Ethereum,15.3521
2016-12-29,Ethereum,10.1601
2017-01-03,Ethereum,16.0737
2017-01-04,Ethereum,15.6947
2017-02-14,Ethereum,15.5792
2017-03-08,Ethereum,-11.8447
2017-03-11,Ethereum,11.0706
2017-03-13,Ethereum,21.9953
2017-03-15,Ethereum,22.3395
2017-03-16,Ethereum,32.2054
2017-03-18,Ethereum,-27.0518
2017-03-19,Ethereum,30.9714
2017-03-24,Ethereum,21.5876
2017-04-27,Ethereum,17.9199
2017-04-28,Ethereum,12.8547
