"date","coin_name","close_price","daily_return_percent","log_return"
2018-08-02,Binance Coin,14.17690000,4.4423,0.043465
2018-08-03,Binance Coin,14.13460000,-0.2984,-0.002988
2018-08-04,Binance Coin,13.84240000,-2.0673,-0.020889
2018-08-05,Binance Coin,13.62320000,-1.5835,-0.015962
2018-08-06,Binance Coin,13.69910000,0.5571,0.005556
2018-08-07,Binance Coin,13.14610000,-4.0368,-0.041205
2018-08-08,Binance Coin,12.14370000,-7.6251,-0.079315
2018-08-09,Binance Coin,12.85800000,5.8821,0.057156
2018-08-10,Binance Coin,12.13080000,-5.6556,-0.058219
2018-08-11,Binance Coin,11.73660000,-3.2496,-0.033036
2018-08-12,Binance Coin,11.74180000,0.0443,0.000443
2018-08-13,Binance Coin,10.22820000,-12.8907,-0.138007
2018-08-14,Binance Coin,9.42011000,-7.9006,-0.082302
2018-08-15,Binance Coin,9.46301000,0.4554,0.004544
2018-08-16,Binance Coin,9.80233000,3.5858,0.035230
2018-08-17,Binance Coin,10.86780000,10.8696,0.103184
2018-08-18,Binance Coin,9.90758000,-8.8355,-0.092504
2018-08-19,Binance Coin,10.15620000,2.5094,0.024784
2018-08-20,Binance Coin,9.70093000,-4.4827,-0.045863
2018-08-21,Binance Coin,9.71463000,0.1412,0.001411
2018-08-22,Binance Coin,9.53973000,-1.8004,-0.018168
2018-08-23,Binance Coin,9.71504000,1.8377,0.018210
2018-08-24,Binance Coin,10.23470000,5.3490,0.052109
2018-08-25,Binance Coin,10.13580000,-0.9663,-0.009710
2018-08-26,Binance Coin,10.18560000,0.4913,0.004901
2018-08-27,Binance Coin,11.21280000,10.0848,0.096081
2018-08-28,Binance Coin,11.48610000,2.4374,0.024082
2018-08-29,Binance Coin,11.17350000,-2.7216,-0.027593
2018-08-30,Binance Coin,10.76260000,-3.6775,-0.037468
2018-08-31,Binance Coin,11.01380000,2.3340,0.023072
2018-09-01,Binance Coin,11.37940000,3.3195,0.032656
2018-09-02,Binance Coin,11.29940000,-0.7030,-0.007055
2018-09-03,Binance Coin,11.26110000,-0.3390,-0.003395
2018-09-04,Binance Coin,11.35920000,0.8711,0.008674
2018-09-05,Binance Coin,10.08660000,-11.2033,-0.118820
2018-09-06,Binance Coin,10.28420000,1.9590,0.019401
2018-09-07,Binance Coin,10.03730000,-2.4008,-0.024301
2018-09-08,Binance Coin,9.52008000,-5.1530,-0.052905
2018-09-09,Binance Coin,9.51263000,-0.0783,-0.000783
2018-09-10,Binance Coin,9.52487000,0.1287,0.001286
2018-09-11,Binance Coin,9.37396000,-1.5844,-0.015971
2018-09-12,Binance Coin,9.21443000,-1.7018,-0.017165
2018-09-13,Binance Coin,9.60406000,4.2285,0.041415
2018-09-14,Binance Coin,9.93005000,3.3943,0.033380
2018-09-15,Binance Coin,10.11030000,1.8152,0.017989
2018-09-16,Binance Coin,9.93602000,-1.7238,-0.017388
2018-09-17,Binance Coin,9.40526000,-5.3418,-0.054897
2018-09-18,Binance Coin,9.54406000,1.4758,0.014650
2018-09-19,Binance Coin,9.61909000,0.7861,0.007831
2018-09-20,Binance Coin,10.07450000,4.7344,0.046258
2018-09-21,Binance Coin,10.41080000,3.3381,0.032836
2018-09-22,Binance Coin,10.24500000,-1.5926,-0.016054
2018-09-23,Binance Coin,10.28060000,0.3475,0.003469
2018-09-24,Binance Coin,10.03590000,-2.3802,-0.024090
2018-09-25,Binance Coin,9.78316000,-2.5184,-0.025506
2018-09-26,Binance Coin,9.73663000,-0.4756,-0.004767
2018-09-27,Binance Coin,10.03120000,3.0254,0.029805
2018-09-28,Binance Coin,9.96934000,-0.6167,-0.006186
2018-09-29,Binance Coin,9.99914000,0.2989,0.002985
2018-09-30,Binance Coin,10.01780000,0.1866,0.001864
2018-10-01,Binance Coin,9.94366000,-0.7401,-0.007428
2018-10-02,Binance Coin,10.35680000,4.1548,0.040708
2018-10-03,Binance Coin,10.27120000,-0.8265,-0.008299
2018-10-04,Binance Coin,10.25560000,-0.1519,-0.001520
2018-10-05,Binance Coin,10.63620000,3.7111,0.036439
2018-10-06,Binance Coin,10.37210000,-2.4830,-0.025144
2018-10-07,Binance Coin,10.51900000,1.4163,0.014064
2018-10-08,Binance Coin,10.50660000,-0.1179,-0.001180
2018-10-09,Binance Coin,10.38490000,-1.1583,-0.011651
2018-10-10,Binance Coin,10.32800000,-0.5479,-0.005494
2018-10-11,Binance Coin,9.30132000,-9.9407,-0.104702
2018-10-12,Binance Coin,9.52894000,2.4472,0.024177
2018-10-13,Binance Coin,9.54036000,0.1198,0.001198
2018-10-14,Binance Coin,9.49674000,-0.4572,-0.004583
2018-10-15,Binance Coin,10.31610000,8.6278,0.082757
2018-10-16,Binance Coin,10.01090000,-2.9585,-0.030031
2018-10-17,Binance Coin,9.90447000,-1.0631,-0.010688
2018-10-18,Binance Coin,9.71658000,-1.8970,-0.019152
